id,CandidateId,CandidateName,Party,Type,State,SumDonations,Top1PAC,Top1Value,Top2PAC,Top2Value,Top3PAC,Top3Value,Rank_total
57,N00009573,Jeff Flake,R,sen,AZ,217450,American Airlines,8500,Marriott International,8000,Alliant Techsystems,5000,58
58,N00027500,Amy Klobuchar,D,sen,MN,210500,Intl Brotherhood of Electrical Workers,5000,Keystone America PAC,5000,Midwest Values PAC,5000,59
59,N00001955,Ben Cardin,D,sen,MD,197750,TeleCommunication Systems Inc,9000,Bayada Nurses,5050,Google Inc,5000,60
60,N00000699,Robert Menendez,D,sen,NJ,188800,Apria Healthcare,15000,AFL-CIO,10000,Impact,10000,61
61,N00035544,Ben Sasse,R,sen,NE,188762,Senate Conservatives Fund,38352,VIGOP (Virgin Islands Republican Party),7920,LPL Financial,6000,62
62,N00006236,John A Barrasso,R,sen,WY,181750,Eye of the Tiger PAC,10000,UnitedHealth Group,10000,Trinity Industries,6000,63
63,N00004367,Tammy Baldwin,D,sen,WI,179750,Victory Now PAC,10000,Washington Women for Choice,10000,America Works,5000,64
64,N00004981,Dick Durbin,D,sen,IL,155000,American Assn of Nurse Anesthetists,5000,American Council of Life Insurers,5000,Astellas US,5000,65
65,N00028139,Mazie K Hirono,D,sen,HI,148400,Impact,10000,National Air Traffic Controllers Assn,6000,Alexander & Baldwin,5000,66
66,N00003280,Roger Wicker,R,sen,MS,141325,Freedom Fund,10000,Genesee & Wyoming,8000,Google Inc,7500,67
67,N00024790,Jeanne Shaheen,D,sen,NH,130131,Impact,10000,A New Direction PAC,5000,American Assn of Nurse Anesthetists,5000,68
68,N00027694,Claire McCaskill,D,sen,MO,122500,Victory Now PAC,10000,Boeing Co,5000,Cerner Corp,5000,69
69,N00007364,Dianne Feinstein,D,sen,CA,108910,Alston & Bird,5000,Delta Air Lines,5000,Intel Corp,5000,70
70,N00033054,Steven Daines,R,sen,MT,106135,T-Mobile USA,5500,Northrop Grumman,5000,National Right to Life Victory Fund,4630,71
71,N00027658,Kirsten Gillibrand,D,sen,NY,105700,Harris Corp,9000,Public Service Enterprise Group,7500,Amgen Inc,5000,72
72,N00027533,Sheldon Whitehouse,D,sen,RI,102850,Cardinal Health,5000,Exelon Corp,5000,Premier Inc,5000,73
73,N00029016,Al Franken,D,sen,MN,102222,Operating Engineers Union,10000,Xcel Energy,8000,Boilermakers Union,6000,74
74,N00009771,Shelley Moore Capito,R,sen,WV,101965,Majority PAC,14085,Carpenters & Joiners Union,5000,Dow Chemical,5000,75
75,N00035187,Mike Rounds,R,sen,SD,101236,National Right to Life,20985,Heartland Values PAC,10000,National Right to Life Victory Fund,8626,76
76,N00000362,Jack Reed,D,sen,RI,98500,AECOM US,5000,American Veterinary Medical Assn,5000,Credit Suisse Securities,5000,77
77,N00000270,Ed Markey,D,sen,MA,98000,Fresenius Medical Care North America,5000,GDF Suez Energy North America,5000,Intl Brotherhood of Electrical Workers,5000,78
78,N00005582,James M Inhofe,R,sen,OK,97500,National Air Traffic Controllers Assn,4000,National Mining Assn,4000,SAIC Inc,3000,79
79,N00027566,Christopher S Murphy,D,sen,CT,97500,Intl Brotherhood of Electrical Workers,5000,Premier Inc,5000,Teamsters Union,5000,80
80,N00009888,Lamar Alexander,R,sen,TN,97250,Cardinal Health,5000,LifePoint Hospitals,5000,UBS Americas,5000,81
81,N00027441,Bob Corker,R,sen,TN,95500,RGA Reinsurance,7500,Acadia Healthcare,5000,Encore Capital Group,5000,82
82,N00000491,Susan Collins,R,sen,ME,94000,National Alliance of Forest Owners,7000,New Cuba PAC,5000,Painters & Allied Trades Union,5000,83
83,N00009975,Lindsey Graham,R,sen,SC,87201,National Assn of Realtors,29820,Lindsey Graham 2016,5881,Cerner Corp,5000,84
84,N00031820,Chris Coons,D,sen,DE,79500,Walt Disney Co,5000,American Nurses Assn,3000,Cellular Telecom & Internet Assn,3000,85
85,N00006561,Tom Udall,D,sen,NM,74500,Apollo Group,5000,Celanese Corp,5000,Humane Society Legislative Fund,5000,86
86,N00034580,Angus King,I,sen,ME,67000,American Wind Energy Assn,5000,Google Inc,5000,Intl Brotherhood of Electrical Workers,5000,87
87,N00029303,Jeff Merkley,D,sen,OR,59713,League of Conservation Voters,6713,General Motors,5000,Intel Corp,5000,88
88,N00006249,Mike Enzi,R,sen,WY,42500,Ryan LLC,5000,OSI Restaurant Partners,3000,Vanguard Group,3000,89
89,N00029441,James E Risch,R,sen,ID,28332,Denali Leadership PAC,5000,Hawkeye PAC,5000,American Lighting Assn,3332,90
90,N00033492,Elizabeth Warren,D,sen,MA,26000,Glass Molders Pottery Plastics Workers,5000,Intl Brotherhood of Electrical Workers,5000,Transport Workers Union,5000,91
91,N00007836,Maria Cantwell,D,sen,WA,12000,ACA International,2000,Huffman for Congress 2014,2000,US Beet Sugar Assn,2000,92
